author,text,likes,clean_text
@TheRoyalAegis,"At this moment, Im a 3rd Year ""Last Year"" and I still dont know which one or job Im goin to learn, I still dont know anything, only html/css to make a simple website, Im cooked, I dont have a dream job, goal, damn it, it is what it is after graduation I guess, whatever jobs.",0,moment im rd year last year still dont know one job im goin learn still dont know anything htmlcss make simple website im cooked dont dream job goal damn graduation guess whatever jobs
@zestyolu8413,"Thanks Mr Mosh! Excellent explainations, I like C++ Version 20",0,thanks mr mosh excellent explainations like c version
@nb-linux700,Hi there omw to being an Android dev and work at google :),0,hi omw android dev work google
@adheepch4827,THIS VIDEO IS A PURE WASTE OF TIME!!! IT DOESNT CONTAIN NAMESPACES AND LOOP STATEMENTS. I HAD TO GO ALL OVER THE LANGUAGE ONCE AGAIN. I'D RATHER SUGGEST THE VIEWERS TO REFER BROCODE,0,video pure waste time doesnt contain namespaces loop statements go language id rather suggest viewers refer brocode
@lakshitkarwa1009,part 2 pls🙏🙏🙏🙏,0,part pls foldedhands foldedhands foldedhands foldedhands
@Fabiola1897,26:00,0,
@fireontires,"Can't we just do this 
Int ( ) {
double ×=10;
double y=5;
double z= (10/5)-0.7;",0,cant int double double double z
@etc1495,"Great video, wish programming wasn't so boring to me.",1,great video wish programming wasnt boring
@younessx365,"Why this stupid idea to use CLion? Everyone will start with a free software, not a paid/trial thing that isn't even better than Visual Studio Community, like what?",0,stupid idea use clion everyone start free software paidtrial thing isnt even better visual studio community like
@SalemAfework,Best video I’ve ever watched,0,best video ive ever watched
@PritamChakraborty-v9l,"25:22 why use an extra variable, can we do this instead ?
 int a = 1; //assumed values of a and b 
 int b = 2; //a = 1, b = 2, before swap.
 a = a+b //a = 3, b = 2, compound assignment operator (+=) used here.
 b = a-b; //a = 3, b = 1
 a = a-b; //a = 2, b = 1, after swap (Swap successful)",0,use extra variable instead int assumed values b int b b swap ab b compound assignment operator used b ab b ab b swap swap successful
@asimrafidhaque,<3,0,
@Mesus-n3u,im just learning c++ to make gta mod menus,0,im learning c make gta mod menus
@thesocialtrends496,Im i alone here i watch 1 hour video to learn c++ and still not learn something i feel i down my self 😢,0,im alone watch hour video learn c still learn something feel self cryingface
@BiniyamGslassie,Full course is not working I can't use it,0,full course working cant use
@thebaba620,Is the full course worth it?,0,full course worth
@AmosBanda-or3sj,leaving this here.,0,leaving
@andrealoumangangot7419,Thank you,0,thank
@jakublubojacky8480,"24:45 couldn't i just use swap function?

I mean:  
using namespace std;
int main() {
    int a = 1;
    int b = 2;
    swap (a, b);
   cout << a;
}",0,couldnt use swap function mean using namespace std int main int int b swap b cout
@SamuelBoadi-y6i8t,"Mosh, C++ full course for begineers please",0,mosh c full course begineers please
@jamesp9304,Your teaching sucks thank god you show us how to do it.,1,teaching sucks thank god show us
@SavageInc-q6v,When imputing a value in the floor function’s parameters/ parentheses why was 1.2 inserted? Can it be different? Will a different number have a different result as an outcome?,0,imputing value floor functions parameters parentheses inserted different different number different result outcome
@Nerfwar-jackandAngelo,bro,0,bro
@desmondnti1309,Me 2025 learning c*++. I will bring my feedback when I master it,13,learning c bring feedback master
@kakab3ba,"Hi! Thank u so much for learning all of us how to code! You helped everyone learn c++ and me so thank u so much! Have a good day! (: if u know lua ima teach u some c++ so

1. int (int is litterally local its how to make a variable)
2. cout (cout is printing)
3.if (its litterally the same just without the ""then"")

this is a c++ code

#inlcude <iostream> // make sure to use this when u start every project.

using namespace std; // also start with every project also always add a "";"" at the end of a sentence.

int main() // litt a function
{
// put ya code here
}",0,hi thank u much learning us code helped everyone learn c thank u much good day u know lua ima teach u c int int litterally local make variable cout cout printing litterally without c code inlcude iostream make sure use u start every project using namespace std also start every project also always add end sentence int main litt function put ya code
@swallow_gamer,24:40 what about deepcopy and shallow copy or that's only a thing in python?,0,deepcopy shallow copy thats thing python
@JASAT.com100,Latest newcomer 😅😅,0,latest newcomer grinningfacewithsweat grinningfacewithsweat
@VictorZheng-sc5sc,what about rust?,0,rust
@tebqzik_music,"Hi can I use VS Code,  Visual Studio Code to follow on this course",0,hi use vs code visual studio code follow course
@UzamaIftikhar-k2n,"Sir,i am confused by difference between cout and printf function please",0,siri confused difference cout printf function please
@WWhateverItTakes,Thanks bro! Been meaning to learn this and this tutorial was quick simple and easy!,0,thanks bro meaning learn tutorial quick simple easy
@ernestomashalla,thanks,0,thanks
@krazywomannnnnnn,are there any IDE available for mobiles?,1,ide available mobiles
@ParsaAhmadi-g6p,"At the first problem i just used swap (&b, &a);
😂",0,first problem used swap b facewithtearsofjoy
@ponnadaArudra,Anyone from india ❤❤,0,anyone india redheart redheart
@ΣκοτινηπικλαΠικλατουσκοτουσ,thanks man this video is very helpful i came hier to look at c++ one more time before my exams bc i dont have the notes and the way you explain it is very easy to understand plus i love how you encurage everyone much love from greece,0,thanks man video helpful came hier look c one time exams bc dont notes way explain easy understand plus love encurage everyone much love greece
@dee23gaming,"I would've preferred it if you gave a more manual C++ setup guide, instead of having an IDE do everything for us. I had to search up myself how to set up a C++ environment the way the pros do it. But no worries, as I can now code, compile, and run C++ programs from any plain text editor, and a PowerShell window using G++.",0,wouldve preferred gave manual c setup guide instead ide everything us search set c environment way pros worries code compile run c programs plain text editor powershell window using g
@Zibbzie,"For the random number generator, I simply did 
srand(time(0));
int rollOne = (rand() % 6) + 1;
int rollTwo = (rand() % 6) + 1;

Is this not effective?",0,random number generator simply srandtime int rollone rand int rolltwo rand effective
@dryicel0l27,my brain exploded,4,brain exploded
@aydan4260,Thank you for all your help. Your teaching style is so simple and understandable that I decided to buy the full course. ,0,thank help teaching style simple understandable decided buy full course
@Kavya-g2p,This was suspiciously easy,0,suspiciously easy
@Obynamn,"Okay... This is not for beginners. You gave us an exercise, but the very first exercise you used a solution that we would have NO idea existed. Like, it's like giving someone a bike without a chain, and telling them ""Ride it to the store"". Okay... well i cant ride it, it doesn't go anywhere. And then you come out and say ""aha! you forgot the bike chain!"" but... i didn't know a bike chain existed???? youre making me feel stupid and helpless lol",0,okay beginners gave us exercise first exercise used solution would idea existed like like giving someone bike without chain telling ride store okay well cant ride doesnt go anywhere come say aha forgot bike chain didnt know bike chain existed youre making feel stupid helpless lol
@Garpocalypse,The insane amount of ads are affecting my ability to learn when they appear mid sentence...,0,insane amount ads affecting ability learn appear mid sentence
@MrPigga,I never received my cheat sheet. Good lesson though.,0,never received cheat sheet good lesson though
@Girlmulti,Thanks,0,thanks
@mikotourabe1830,"52:20 When I was experimenting I accidentally realized that you can farther make this smaller by doing

double x, y;
cin >> x >> y;

53:35 my code is like this

#include <iostream>

using namespace std;

int main() {
    cout <<""Enter values for Fahrenheit to calculate it to Celsius: "";
    double Fahrenheit;
    cin >> Fahrenheit;
    cout << ((Fahrenheit-32)*5)/9;
    return 0;
}",0,experimenting accidentally realized farther make smaller double x cin x code like include iostream using namespace std int main cout enter values fahrenheit calculate celsius double fahrenheit cin fahrenheit cout fahrenheit return
@Imdead3530,I had it switch it by std::cin; a = b; is that a bad practice?,0,switch std cin b bad practice
@musrattaibaonnie1824,can we put printf and scanf_s instead of std::cout ?,0,put printf scanfs instead std cout
@kmsGrześki,You don't really explain things.,1,dont really explain things
@thebrownie6308,"I respect the work put into this entire tutorial course. Not only the videos, but the cheat sheets are also detailed to oblivion.",0,respect work put entire tutorial course videos cheat sheets also detailed oblivion
@signumt,What happened to the += -= *= /= %= //= operators,0,happened operators
@SparkyNeo,37:26 Not in coding only. This rules apply for all kind of math solving.,0,coding rules apply kind math solving
@obsidianisadev,50:49 ninja no work to do?,0,ninja work
@gcindies,Fckin ads every minute…,0,fckin ads every minute
@evilcultleader,Mosh is the best programming tutor online,0,mosh best programming tutor online
@VogatronYT,I will look back at this comment later on in the future after I master c++,0,look back comment later future master c
@BabatundeMuhammed-kh7qw,Where’s the material link… for further learning sir ?,0,wheres material link learning sir
@SFGaming230,U technically also teachin math,0,u technically also teachin math
@grilleddry,Great tutorial!!,0,great tutorial
@GechoBro,Wow thanks alot,1,wow thanks alot
